gameID,team,FG,FGA,3P,3PA,FT,FTA,ORB,TOV,DRB,POSS,EFGP,NTOVP,ORBP,NFTP,fourFactorScore
201910280SAS,San Antonio Spurs,41,85,7,22,24,32,7,18,43,108.8,0.0850607827981168,0.07352941176470587,-0.024140752864157122,0.06235294117647058,0.07857707863980315
201910280TOR,Toronto Raptors,33,85,10,39,28,30,6,16,46,107,-0.006048387096774188,0,-0.014814814814814808,0.16087243886318572,2.506084266899189e-4
201910290DEN,Denver Nuggets,43,91,11,32,9,13,14,10,36,92.2,0.0017469596183564695,0.02169197396963124,0.08695652173913046,-0.06776556776556776,0.003426386772550948
201910290LAL,Los Angeles Lakers,40,86,7,26,33,39,10,18,44,109.6,0.1209509966777409,-0.027372262773722622,0.004487964096287239,0.1521419828641371,0.11489225190160943
201910290MIA,Miami Heat,33,73,13,31,33,45,13,26,36,104,0.04784047919293821,0.05769230769230768,0.15135135135135136,0.2592837101831985,0.061572270325462974
201910300BOS,Boston Celtics,41,92,17,41,17,21,5,9,40,104.4,0.017849742466402252,-0.05747126436781609,0,0.001855779427359483,0.015564286753178247
201910300BRK,Brooklyn Nets,41,93,10,31,16,26,18,19,36,104.4,-0.04296668429402434,0.09578544061302681,0.14095744680851063,-0.005040322580645157,-0.03086590202129191
201910300CLE,Cleveland Cavaliers,41,78,10,24,25,31,10,17,37,97.4,0.09439124487004102,0.11293634496919916,0.10737812911725955,0.10940170940170943,0.09582645866466027
201910300GSW,Golden State Warriors,36,82,8,28,30,36,7,18,36,107.4,-0.02651515151515149,0.018621973929236507,-0.08581894296180012,0.17835365853658536,-0.02083421743097057
201910300OKC,Oklahoma City Thunder,33,84,4,27,29,37,13,18,42,103.8,-0.035924354106172285,0.009633911368015419,0.0688124306326304,0.14756367663344408,-0.022892410984905617
201910300ORL,Orlando Magic,37,88,12,32,9,12,14,7,38,85.8,0.053023598820059026,-0.04662004662004664,0.08333333333333334,-0.0684589800443459,0.04868334593674549
201910300PHI,Philadelphia 76ers,43,92,9,25,22,28,16,22,40,109.2,0.08701738874152665,0.00915750915750918,0.233201581027668,-0.020128824476650542,0.08926215103126645
201910300SAC,Sacramento Kings,44,96,14,46,9,12,10,15,29,105.8,-0.10636231180184552,-0.047258979206049156,-0.03901895206243031,-0.02529761904761904,-0.09916152277874775
201910300TOR,Toronto Raptors,51,86,13,27,10,12,3,14,31,101.8,0.10206989650517473,-0.05893909626719057,-0.17366946778711484,-0.07690274841437632,0.07951393256605456
201910300UTA,Utah Jazz,44,80,11,24,11,16,3,14,33,97.4,0.06643772893772892,-0.05133470225872688,-0.06293706293706294,0.015548780487804892,0.056755707094027816
201910300WAS,Washington Wizards,57,91,20,36,24,29,11,19,29,110.6,0.10399217613721845,0.054249547920434,-0.09027777777777773,0.011309079270244327,0.09007392828462184
201910310ATL,Atlanta Hawks,36,88,7,34,18,26,16,16,34,98.4,-0.06465926026283697,0.03048780487804878,0.12403100775193796,0.06168831168831171,-0.049219373332643424
201910310LAC,Los Angeles Clippers,39,91,5,26,20,27,11,11,36,101.8,-0.036388254210036386,-0.07858546168958742,0.01568627450980392,-0.005219780219780229,-0.03295976088922963
201910310NOP,New Orleans Pelicans,41,77,15,33,25,32,2,15,35,102.8,0.0365612648221344,0.009727626459143962,-0.0625,0.16737195388880782,0.03657229276006471
201911010BOS,Boston Celtics,33,74,11,34,27,29,3,14,41,96.6,0.020603618886061603,0.010351966873706014,-0.20175438596491227,0.2143272304562627,0.017132146586197397
201911010BRK,Brooklyn Nets,42,85,19,32,20,28,10,20,45,106.2,0.12044304901447755,0.07532956685499058,0.07723577235772358,0.01307189542483661,0.11353670421645935
201911010CHI,Chicago Bulls,39,89,16,40,18,23,11,17,31,104.2,-0.021623827009383922,0.009596928982725544,-0.014735772357723581,-0.009517514871116989,-0.020482964231349134
201911010DAL,Dallas Mavericks,40,102,14,36,16,23,18,22,43,115.2,-0.06176403985507245,0.0954861111111111,0.2171736619175972,-0.009803921568627444,-0.044166248525319335
201911010GSW,Golden State Warriors,39,84,13,28,19,21,7,11,32,96.4,0.01171875,0,-0.1705426356589147,-0.05337941628264206,-1.1543343425141636e-4
201911010IND,Indiana Pacers,39,96,5,27,19,21,13,13,45,104.4,0.022272323563571783,-0.02873563218390804,0.17386363636363636,-0.03196839080459771,0.027172181071373435
201911010ORL,Orlando Magic,34,91,12,37,11,17,10,16,30,103.8,-0.08392857142857141,0.028901734104046256,-0.09285408643560122,-0.008153137185395246,-0.08021552675386968
201911010SAC,Sacramento Kings,41,84,8,29,12,17,11,16,27,95.8,-0.0027600105143257836,-0.010438413361169102,0.08647450110864746,-0.13111545988258316,-0.0035092869363758496
201911020DET,Detroit Pistons,41,91,8,27,23,29,5,8,36,105.6,-0.0026440677966101944,-0.05681818181818181,-0.10111223458038422,0.11296230651069361,-0.00348496230372246
201911020GSW,Golden State Warriors,34,77,9,28,10,13,5,18,35,95.2,0.02894736842105261,0.06302521008403361,-0.17859035506094328,-0.0583651642475172,0.015418759356839836
201911020MEM,Memphis Grizzlies,42,86,9,28,12,19,13,20,33,100.6,-0.010138050043140667,0.029821073558648103,0.2089650626235992,0.003171247357293877,0.001749068722231595
201911020MIL,Milwaukee Bucks,41,89,13,38,20,25,10,11,41,100,0.02818241469816274,-0.020000000000000004,0.07638888888888887,-0.03718566078116642,0.027496191241544257
201911020OKC,Oklahoma City Thunder,41,90,15,37,18,23,8,12,36,103.2,0.020778652668416442,-0.03875968992248062,-0.15054195102368526,0.061702127659574474,0.013254178057548707
201911020ORL,Orlando Magic,37,86,6,29,7,11,10,15,37,95.4,0.03594489883770985,0.0209643605870021,0.06818181818181818,-0.3021662949984071,0.023882491668963512
201911020POR,Portland Trail Blazers,45,78,19,34,19,25,4,18,32,102,0.06160714285714286,0.06862745098039216,-0.18078078078078075,0.15013179966450996,0.053098936028773865
201911020WAS,Washington Wizards,37,95,12,35,23,27,8,17,31,114.8,-0.11659919028340082,-0.03484320557491288,0.06561085972850679,0.11444568868980964,-0.09742933277679214
201911030CLE,Cleveland Cavaliers,39,96,18,48,15,22,12,9,29,101.8,-0.1111111111111111,-0.039292730844793705,-0.04423076923076924,0.03922872340425532,-0.10103531683381617
201911030IND,Indiana Pacers,40,85,8,26,20,27,10,16,39,101.8,0.0379893167503787,-0.019646365422396866,0.08405797101449275,0.06862745098039216,0.040941918011057184
201911030LAC,Los Angeles Clippers,36,92,7,32,26,34,18,9,36,96.6,-0.011726842261023995,-0.05175983436853002,0.22448979591836737,5.574136008918429e-4,1.7502996134714766e-4
201911030MIA,Miami Heat,47,89,18,41,17,22,5,15,41,107.8,0.13155663234403392,-0.06493506493506493,0.0393162393162393,-0.11278623239937421,0.11520598113011689
201911030NYK,New York Knicks,32,80,8,31,20,31,9,13,29,96.4,-0.06680470793374016,-0.01037344398340248,-0.07273678702250128,0.061764705882352944,-0.06139422269603111
201911030SAS,San Antonio Spurs,33,83,6,25,24,29,8,17,39,103.6,-0.07207207207207211,-0.009652509652509661,0.018038852913968534,0.13973133914970223,-0.058470193749703483
201911040BRK,Brooklyn Nets,49,92,16,41,21,28,12,23,33,114.2,0.006090808416389815,0.01751313485113834,0.06012478729438456,0.06331241595696996,0.011195594926260244
201911040GSW,Golden State Warriors,42,86,10,26,33,36,8,10,39,102.4,0.050677339901477825,0.0390625,-0.06868686868686869,0.2789590254706534,0.05372424849581274
201911040MEM,Memphis Grizzlies,40,94,3,25,17,21,13,14,38,103.4,0.04454369160251509,-0.03868471953578337,-0.009230769230769209,-0.03420269961107297,0.03787282880092437
201911040MIN,Minnesota Timberwolves,37,103,13,43,19,22,13,15,34,113.8,-0.13387297633872974,-0.01757469244288226,-0.024105461393596983,-0.03058774402338449,-0.12309020845990082
201911040PHO,Phoenix Suns,41,77,11,28,21,27,5,19,35,101.8,0.03184019370460045,-0.009823182711198447,-0.05748663101604279,0.1378958120531154,0.031199443438350898
201911040WAS,Washington Wizards,43,93,8,29,21,25,13,11,28,101,0.013686268611821317,-0.07920792079207921,-0.007549361207897787,0.006294256490951999,0.011399864741961583
201911050ATL,Atlanta Hawks,43,90,11,30,11,16,9,18,39,105.4,0.06545698924731186,0.028462998102466802,0.010769230769230781,-0.05360195360195362,0.05759030369798873
201911050CHI,Chicago Bulls,43,85,14,32,12,23,7,16,35,103.2,0.023350427350427305,0.009689922480620144,-0.0962282398452611,-0.04360613810741687,0.014556626323631049
201911050CHO,Charlotte Hornets,42,88,10,31,28,42,10,13,27,107.8,-0.0647194361615614,-0.046382189239332086,0.01150895140664962,0.25435203094777564,-0.04796178562955507
201911050CLE,Cleveland Cavaliers,40,95,13,33,20,22,11,9,32,101.8,-0.10628396739130436,-0.04911591355599215,0.10042735042735043,0.08111455108359131,-0.08788078022302266
201911050DEN,Denver Nuggets,45,86,9,23,10,16,9,19,38,102.4,0.1421626284011605,0.05859375,-0.029901960784313703,-0.06553911205073996,0.12441564053979917
201911050OKC,Oklahoma City Thunder,37,86,12,33,16,20,7,9,31,96,0.03922915319974141,-0.05208333333333334,-0.18133462282398452,-0.14322178105501987,0.019989802163033917
201911060ATL,Atlanta Hawks,30,74,6,30,27,35,6,24,35,106,-0.09573578595317728,0.06603773584905662,-0.023809523809523808,0.14535266974291364,-0.08087819940012864
201911060DAL,Dallas Mavericks,36,84,11,31,24,30,12,17,31,101,-0.042976588628762524,-0.009900990099009882,0.01696712619300106,0.010714285714285676,-0.0375010119286549
201911060DET,Detroit Pistons,44,79,15,30,19,24,8,16,35,96.6,0.04866754041065968,0.031055900621118016,0.11742424242424243,0.07800632911392405,0.05310281066157398
201911060HOU,Houston Rockets,48,97,21,45,12,19,11,12,39,105.6,0.06701059067583798,0.01893939393939395,-0.05177865612648219,-0.11587199312714777,0.05327511301623811
201911060IND,Indiana Pacers,44,94,12,30,21,26,13,13,35,104.4,0.08100358422939063,-0.02873563218390804,-0.024836601307189565,0.023404255319148914,0.07231020963201897
201911060LAC,Los Angeles Clippers,41,98,13,31,29,36,14,19,40,117.4,0.0212782787533618,0.034071550255536626,0,0.020408163265306145,0.020307492911193232
201911060MEM,Memphis Grizzlies,50,88,12,23,25,30,8,17,41,109,0.14280237684492997,0.05504587155963303,0.0392156862745098,0.08617424242424246,0.1344803518867285
201911060TOR,Toronto Raptors,43,78,14,29,24,29,2,14,35,101.6,0.09318900020170778,0,-0.19471308833010958,0.13927125506072877,0.07970529596746068
201911060UTA,Utah Jazz,41,89,8,22,16,24,14,13,36,97.6,0.05302445302445302,-0.010245901639344274,0.12292358803986708,-0.1952247191011236,0.045956739343562696
201911070CHO,Charlotte Hornets,33,86,6,31,15,21,9,20,40,105.4,-0.04945054945054944,0.07590132827324476,-0.03568627450980394,-0.019129782445611393,-0.04629598624607671
201911070LAC,Los Angeles Clippers,39,89,4,23,25,30,13,17,44,105,0.05488261738261735,0.0380952380952381,-0.0020927799093128363,0.165514261019879,0.056291239470637515
201911070PHO,Phoenix Suns,37,84,11,32,23,31,10,14,30,100.4,-0.11089341692789972,0.009960159362549792,0.07453416149068323,0.04210220673635309,-0.09429367729749596
201911070SAS,San Antonio Spurs,51,94,9,20,10,11,12,13,35,99.4,0.021495570609692538,0,0.20512820512820515,-0.11861702127659575,0.024857742954069714
201911080ATL,Atlanta Hawks,46,87,9,28,8,14,11,12,23,93.6,-0.03750507923608287,-0.021367521367521347,0.008223684210526327,-0.15804597701149425,-0.03987890139608326
201911080DAL,Dallas Mavericks,37,90,14,44,14,17,7,13,40,102.8,-0.04771016711315218,0.009727626459143962,-0.1164021164021164,-0.04669163545568039,-0.05052964537557856
201911080DEN,Denver Nuggets,39,87,9,22,13,17,7,10,34,96.8,0.0017611402359108963,-0.07231404958677685,-0.08888888888888888,0.056402031542368364,-0.0013264774662976719
201911080IND,Indiana Pacers,43,83,4,15,22,25,10,12,34,95,0.0768307322929172,-0.03157894736842104,0.022727272727272735,0.09064163631269265,0.07359389867881262
201911080LAL,Los Angeles Lakers,40,89,8,32,7,8,10,18,38,100.2,0.0940711462450593,0.059880239520958084,0.08249721293199552,-0.14634831460674158,0.08353376207809307
201911080MIN,Minnesota Timberwolves,48,111,9,36,20,29,20,18,39,120.6,0.009316770186335421,-0.01658374792703149,0.10714285714285715,-0.04312079069360625,0.011851566917830172
201911080NOP,New Orleans Pelicans,40,99,10,41,14,21,14,18,39,111.4,-0.04989495798319327,0.008976660682226217,0.041532402434658056,-0.08439231019876181,-0.04611476786426925
201911080ORL,Orlando Magic,44,93,7,28,23,27,12,9,45,100.8,0.06647502694933527,-0.08928571428571429,0.19109461966604824,0.1194048512128032,0.07326559214335913
201911080POR,Portland Trail Blazers,40,97,11,30,24,25,13,10,35,104,-0.002026401111625775,0.009615384615384623,-0.04289215686274511,0.035301468291159016,-0.002460156265800246
201911080UTA,Utah Jazz,34,84,15,36,20,29,11,20,45,104.6,0.04812340966921119,0.07648183556405355,-0.03780528604884578,0.006516290726817031,0.04244627438456101
201911080WAS,Washington Wizards,45,96,7,31,3,6,17,18,30,99.4,0.005821387711151482,0.06036217303822937,-0.007535460992907805,-0.2465277777777778,-0.004395013490337874
201911090CHI,Chicago Bulls,37,98,4,32,16,18,11,15,35,109.2,-0.08188976377952756,-0.06410256410256412,-0.011562998405103692,-0.07769854929923778,-0.07802790493482514
201911090CHO,Charlotte Hornets,36,88,12,35,26,34,13,21,29,109.6,-0.09372177055103881,-0.04562043795620438,0.028464017185821727,0.015454545454545443,-0.08276441519802408
201911090MEM,Memphis Grizzlies,50,95,12,36,10,14,10,15,29,105.6,-0.011368004832775003,0.009469696969696989,-0.07046070460704607,-0.05968529571351058,-0.01604695443869326
201911090OKC,Oklahoma City Thunder,43,79,14,30,14,17,7,18,35,96.8,0.03348195147046218,0.03099173553719009,0.053658536585365874,-0.02278481012658229,0.032215208102992866
201911090SAS,San Antonio Spurs,39,99,14,30,23,30,21,15,36,105,-0.06325818095745306,0.06666666666666665,0.2056303549571603,-0.03363421448527831,-0.0473295470265942
201911100LAL,Los Angeles Lakers,41,94,10,30,12,19,13,12,38,100.6,-0.02103225806451614,-0.009940357852882706,0.10975056689342405,-0.04087975137461153,-0.015176097546906612
201911100MIN,Minnesota Timberwolves,34,97,6,45,24,33,15,12,38,107.2,-0.0843978600283874,-0.07462686567164177,-0.010610079575596787,0.13851178932326225,-0.07169437508811442
201911100NYK,New York Knicks,31,86,9,31,16,25,17,21,35,100,-0.06021756021756025,0.06999999999999998,0.1162092624356775,-0.1554169030062394,-0.05390201719426993
201911100OKC,Oklahoma City Thunder,45,91,17,42,12,17,5,15,30,107.8,-0.0707173338752286,-0.06493506493506493,-0.03869047619047618,-0.060902952469217536,-0.0686655930453489
201911100ORL,Orlando Magic,41,89,15,36,5,6,7,10,30,94.4,-0.08497297297297296,0.01059322033898305,-0.07500000000000001,0.012223731324854915,-0.07963079421929163
201911100PHI,Philadelphia 76ers,46,84,10,28,12,16,10,20,39,100.4,0.07074175824175821,0.0697211155378486,0.15238095238095237,-0.047619047619047616,0.0700790792872466
201911100PHO,Phoenix Suns,52,99,19,42,15,19,5,7,37,108.6,0.05217021276595746,-0.09208103130755066,-0.002768549280177182,-0.02430902430902432,0.044921592739916374
201911100POR,Portland Trail Blazers,45,104,12,36,22,28,16,17,45,116.2,0.036699507389162556,0.008605851979345963,0.10545822102425875,0.038461538461538464,0.03992698775971424
201911110BOS,Boston Celtics,41,86,15,35,19,25,10,9,36,95,0.07639896536496121,0.031578947368421054,-0.03274798291409589,-0.015024823621635736,0.06683646621157908
201911110DET,Detroit Pistons,39,87,16,32,20,25,12,17,27,102,-0.03187128509940562,0.009803921568627444,-0.02860411899313503,0.06134573162856774,-0.027562494058292825
201911110GSW,Golden State Warriors,45,94,10,31,8,14,8,10,36,101.6,-0.013793103448275834,-0.019685039370078747,0.051961823966065745,-0.23588127134226422,-0.01944780315253632
201911110LAC,Los Angeles Clippers,34,92,8,36,22,30,20,19,46,103,-0.04660326086956523,0.03883495145631069,0.27931927487976327,0.13324808184143222,-0.022258698250400152
201911110NOP,New Orleans Pelicans,41,95,14,45,20,27,12,16,34,109.8,-0.05396825396825394,-0.009107468123861567,0.0600375234521576,-0.04829721362229106,-0.04759251562495093
201911110SAS,San Antonio Spurs,42,90,12,30,13,17,7,13,35,102.8,-0.030434782608695643,0.019455252918287924,-0.048989898989899,-0.016475095785440624,-0.030305250599555775
201911120CHI,Chicago Bulls,41,81,14,33,24,31,9,19,37,103.4,0.07938596491228067,0.009671179883945835,0.004705882352941171,0.06902356902356901,0.07454031709848187
201911120DEN,Denver Nuggets,46,104,11,41,18,22,15,3,25,100.8,-0.08499852637783673,-0.10912698412698413,0.01428571428571429,-0.09198331788693237,-0.08055499058251447
201911120IND,Indiana Pacers,46,94,7,23,12,13,11,14,39,102.2,0.12401150251617543,-0.009784735812133072,0.07440476190476192,-0.12843798650752467,0.11009522354137366
201911120MIA,Miami Heat,41,77,14,32,21,27,8,19,34,98.8,0.09162747667874493,0.030364372469635637,0.059523809523809534,-0.04778554778554783,0.08383314130033537
201911120PHI,Philadelphia 76ers,40,89,8,38,10,13,11,14,35,97.2,-0.032047979983810426,0.01028806584362138,0.02949709864603481,-0.07368696106610922,-0.030212924837335797
201911120PHO,Phoenix Suns,43,91,16,38,13,17,6,11,33,102.8,-0.07131782945736437,0.019455252918287938,-0.05226480836236935,0.027067669172932324,-0.06552202763364623
201911120SAC,Sacramento Kings,38,86,11,32,20,26,11,14,35,99.4,0.013503880880722352,-0.03018108651911469,0.08333333333333334,-0.06614315916641497,0.01337262222746904
201911120UTA,Utah Jazz,43,92,6,26,27,35,11,11,35,106,0.023688776191111705,-0.047169811320754707,0.02777777777777779,0.06014492753623191,0.024642886449131155
201911130BOS,Boston Celtics,49,96,16,36,26,29,10,11,34,108.6,-0.012181818181818183,0.027624309392265192,0.060967944688874925,0.04166666666666666,-0.0059723293686033
201911130CHO,Charlotte Hornets,43,87,16,36,15,19,7,15,27,102.6,-0.04101101494885917,-0.07797270955165692,-0.11874197689345314,0.10499806276636964,-0.0394268168835077
201911130HOU,Houston Rockets,33,86,14,42,22,27,9,10,44,97.8,-0.015744274809160297,-0.03067484662576686,-0.023529411764705882,0.18438538205980068,-0.008277651100345205
201911130LAL,Los Angeles Lakers,48,89,9,20,15,18,13,19,38,102.2,0.15503847292098255,0.019569471624266144,0.15277777777777776,0.02247191011235955,0.14826808563851024
201911130MIN,Minnesota Timberwolves,45,91,11,34,28,34,13,10,37,101.6,-0.02123364485981305,-0.009842519685039366,0.06382978723404256,0.052136752136752174,-0.013931746123509925
201911130ORL,Orlando Magic,38,86,10,32,26,34,9,13,39,103.6,7.704160246532754e-4,-0.019305019305019322,0.017287234042553196,0.20342448249424994,0.009501665231035412
201911130POR,Portland Trail Blazers,38,96,17,48,13,16,11,12,32,103.4,-0.07224462365591394,0,-0.07030527289546717,-0.03849637681159421,-0.07007528000755968
201911140CLE,Cleveland Cavaliers,36,85,8,32,17,21,11,18,30,100.4,-0.10766094252332786,0,0.11151960784313725,0.07341772151898734,-0.08838215901807873
201911140DEN,Denver Nuggets,43,101,10,33,5,10,14,7,48,98,0.05745707552463247,0,0.11410658307210034,-0.0873371547681084,0.05392321093504991
201911140MIL,Milwaukee Bucks,42,88,6,33,34,47,17,22,41,111.8,0.026312591152163334,0.017889087656529523,0.1308446455505279,0.16055718475073313,0.036824742581068014
