gameID,team,FG,FGA,3P,3PA,FT,FTA,ORB,TOV,DRB
202001240MIA,Miami Heat,40,93,13,44,24,29,9,9,36
202001240MIN,Minnesota Timberwolves,48,98,11,32,17,20,13,17,38
202001240NOP,New Orleans Pelicans,38,82,12,27,18,30,12,17,33
202001240NYK,New York Knicks,42,85,13,36,15,21,14,14,32
202001240OKC,Oklahoma City Thunder,50,86,14,25,26,34,6,14,39
202001240ORL,Orlando Magic,36,90,12,37,14,19,13,14,33
202001240SAS,San Antonio Spurs,33,78,5,25,28,33,10,14,33
202001250CLE,Cleveland Cavaliers,42,84,13,30,9,11,11,21,32
202001250DET,Detroit Pistons,43,104,13,35,12,18,14,8,38
202001250MIN,Minnesota Timberwolves,40,90,12,43,12,18,7,13,34
202001250PHI,Philadelphia 76ers,41,78,13,37,13,19,8,21,33
202001250UTA,Utah Jazz,40,91,15,43,17,22,12,13,42
202001260ATL,Atlanta Hawks,54,93,15,35,29,34,12,14,36
202001260DEN,Denver Nuggets,44,93,11,28,18,20,11,14,31
202001260MEM,Memphis Grizzlies,44,84,8,19,18,26,8,25,38
202001260NOP,New Orleans Pelicans,44,92,16,36,19,29,18,18,36
202001260NYK,New York Knicks,49,92,6,19,6,13,14,13,34
202001260ORL,Orlando Magic,34,95,7,32,22,32,16,6,28
202001260POR,Portland Trail Blazers,49,90,20,35,21,25,12,15,31
202001260SAS,San Antonio Spurs,34,82,16,37,22,24,7,16,41
202001270CHI,Chicago Bulls,42,93,14,37,12,15,14,9,36
202001270DET,Detroit Pistons,38,84,12,35,12,17,9,17,28
202001270MIA,Miami Heat,42,79,14,28,15,16,3,10,38
202001270MIN,Minnesota Timberwolves,43,89,23,46,20,33,10,20,35
202001270OKC,Oklahoma City Thunder,34,86,12,30,17,19,6,8,42
202001270UTA,Utah Jazz,43,85,12,42,19,26,2,17,36
202001280CHO,Charlotte Hornets,34,88,8,32,21,27,16,13,35
202001280CLE,Cleveland Cavaliers,42,97,11,34,16,18,14,11,32
202001280DAL,Dallas Mavericks,37,83,7,33,23,27,8,15,25
202001280MEM,Memphis Grizzlies,46,82,6,18,6,14,6,16,35
202001280MIA,Miami Heat,33,89,9,37,26,31,11,10,34
202001280MIL,Milwaukee Bucks,50,90,19,37,32,35,11,14,35
202001280PHI,Philadelphia 76ers,42,82,11,32,20,26,2,14,42
202001280TOR,Toronto Raptors,48,97,13,43,21,27,10,12,42
202001290BRK,Brooklyn Nets,43,85,15,39,24,30,8,9,29
202001290IND,Indiana Pacers,46,89,7,27,16,22,13,17,33
202001290NYK,New York Knicks,39,91,9,28,19,29,11,16,35
202001290POR,Portland Trail Blazers,46,89,13,36,20,27,10,18,40
202001290SAC,Sacramento Kings,42,91,9,39,7,11,11,13,28
202001290SAS,San Antonio Spurs,46,82,8,31,27,30,4,9,31
202001300ATL,Atlanta Hawks,42,87,11,35,32,37,10,16,38
202001300BOS,Boston Celtics,42,88,15,35,20,22,14,22,37
202001300CLE,Cleveland Cavaliers,42,90,13,36,12,14,15,21,37
202001300DEN,Denver Nuggets,40,85,9,27,17,21,8,9,35
202001300LAC,Los Angeles Clippers,35,92,13,31,20,25,11,15,28
202001300WAS,Washington Wizards,41,86,14,37,25,27,19,18,38
202001310BRK,Brooklyn Nets,50,80,15,31,18,25,5,20,32
202001310DET,Detroit Pistons,28,79,11,36,25,34,13,15,32
202001310HOU,Houston Rockets,45,98,21,45,17,20,7,6,30
202001310LAL,Los Angeles Lakers,45,96,11,32,18,28,19,18,43
202001310MIL,Milwaukee Bucks,43,95,12,40,17,26,7,13,39
202001310NOP,New Orleans Pelicans,51,95,15,34,22,26,16,19,41
202001310PHO,Phoenix Suns,36,76,9,24,26,29,11,19,29
202002010BOS,Boston Celtics,38,80,8,30,32,41,9,10,33
202002010CLE,Cleveland Cavaliers,41,95,16,44,14,14,13,15,33
202002010DAL,Dallas Mavericks,44,94,20,39,15,16,10,9,43
202002010IND,Indiana Pacers,32,76,8,24,13,21,4,11,30
202002010LAC,Los Angeles Clippers,45,98,12,34,16,18,12,13,38
202002010ORL,Orlando Magic,33,83,9,33,14,17,7,9,32
202002010POR,Portland Trail Blazers,47,92,15,29,15,18,14,12,37
202002010SAC,Sacramento Kings,39,91,14,44,21,26,13,16,31
202002010SAS,San Antonio Spurs,45,87,10,28,14,21,7,10,37
202002010WAS,Washington Wizards,44,100,9,32,16,26,18,9,33
202002020DET,Detroit Pistons,48,94,14,31,18,24,11,11,32
202002020HOU,Houston Rockets,41,105,16,51,19,22,11,7,32
202002020MIL,Milwaukee Bucks,48,97,15,38,18,27,16,16,44
202002020TOR,Toronto Raptors,47,84,16,34,19,23,12,15,34
202002030ATL,Atlanta Hawks,42,84,12,30,19,21,6,17,26
202002030BRK,Brooklyn Nets,43,89,15,34,18,21,10,17,34
202002030CHO,Charlotte Hornets,41,89,9,31,9,14,15,12,31
202002030CLE,Cleveland Cavaliers,52,92,18,35,12,18,5,14,29
202002030IND,Indiana Pacers,44,96,7,34,8,11,8,4,32
202002030LAC,Los Angeles Clippers,39,84,11,27,19,24,5,12,46
202002030MEM,Memphis Grizzlies,42,90,2,17,10,12,7,11,40
202002030MIA,Miami Heat,48,85,16,32,25,30,6,3,29
202002030SAC,Sacramento Kings,38,75,14,27,23,31,7,16,27
202002030WAS,Washington Wizards,42,83,9,22,24,29,2,11,33
202002040DEN,Denver Nuggets,46,90,17,34,18,25,12,13,38
202002040HOU,Houston Rockets,43,97,20,60,19,23,7,4,34
202002040LAL,Los Angeles Lakers,50,85,12,28,17,25,12,14,46
202002040NOP,New Orleans Pelicans,38,99,14,49,18,24,8,17,41
202002050BOS,Boston Celtics,46,86,13,23,11,16,6,12,35
202002050BRK,Brooklyn Nets,51,100,14,34,13,15,14,13,51
202002050DAL,Dallas Mavericks,34,94,17,43,22,24,12,9,30
202002050DET,Detroit Pistons,46,95,12,28,12,16,14,6,28
202002050LAC,Los Angeles Clippers,45,89,24,54,14,19,8,11,43
202002050MIN,Minnesota Timberwolves,45,91,9,35,21,28,6,16,27
